Participant,Item,Condition,R1,R2,R3,R4,R5,R6
17,6,2,2290,2275,2125,2290,858,2068
18,6,1,3809,2377,2646,1998,2035,1417
19,6,2,1554,1848,2591,298,1696,869
20,6,1,1340,1849,2094,2057,2337,1387
21,6,2,1186,736,1662,684,1105,521
22,6,1,1199,2254,2775,1926,1359,789
23,6,2,1018,1184,1634,1562,1861,581
24,6,1,2023,8011,0,4792,1997,1208
25,6,2,1411,1911,1770,1418,1294,1350
26,6,1,2344,1730,1066,1073,1534,1308
27,6,2,858,951,1047,933,993,781
28,6,1,1570,1475,1515,2140,1589,1950
29,6,2,725,1191,1185,873,1114,1291
30,6,1,1982,3447,1814,2371,1912,1346
31,6,2,2474,2784,2909,1837,1731,1246
32,6,1,1572,1812,2487,2311,1349,1852
33,6,2,1601,1449,1515,1539,2421,3934
34,6,1,1227,1884,1962,2396,1759,709
36,6,2,1105,1851,1720,1525,1710,842
37,6,1,1395,2480,4871,1590,2077,1036
38,6,2,1804,1728,1159,323,1078,1350
39,6,1,993,647,878,1714,906,1112
40,6,2,1624,1665,1100,846,864,408
41,6,1,1653,1779,1620,1589,1040,931
1,7,1,1685,1540,1724,1503,1038,960
2,7,2,4005,2425,2468,4596,1108,1407
3,7,1,2273,1286,1908,1442,1101,1920
4,7,2,2618,246,580,3117,561,143
5,7,1,1571,1138,1750,1351,923,360
6,7,2,1466,986,1012,675,506,851
7,7,1,1348,1950,2073,116,976,1401
8,7,2,5198,2395,2910,4102,1063,1558
9,7,1,2246,2645,2146,1963,1607,804
10,7,2,3066,1436,1657,1211,755,761
11,7,1,2000,2869,2720,2499,1182,1929
12,7,2,1487,1312,1650,2222,1229,350
13,7,1,1361,1452,1414,1165,850,1553
14,7,2,1766,1336,1606,1639,932,1268
15,7,1,3103,350,2452,1656,976,1131
16,7,2,1755,3129,1386,1831,1187,1585
17,7,1,1714,1926,2227,2455,1426,2487
18,7,2,2302,144,1624,1194,1646,2330
19,7,1,2080,1694,1772,1930,1020,719
20,7,2,2259,2004,317,2632,1493,1348
21,7,1,979,109,827,1435,860,993
22,7,2,2150,1895,4049,2231,1312,1148
23,7,1,1623,1324,1435,1566,1440,1454
24,7,2,3527,1916,1073,1074,726,607
25,7,1,1512,1694,2008,1464,1060,1487
26,7,2,1298,1560,1647,1293,889,1404
27,7,1,1023,860,1102,1005,1044,923
28,7,2,1758,1323,1690,1894,1130,1505
29,7,1,1867,1525,1293,892,589,1256
30,7,2,4714,2625,3066,687,1276,1650
31,7,1,2528,3025,2980,3456,1316,1048
32,7,2,2268,1193,1467,1288,904,2022
33,7,1,1597,109,2278,1609,1062,1444
34,7,2,1887,2011,1395,1561,900,1068
35,7,1,7557,2357,1460,1854,1268,1494
37,7,2,2303,1684,1185,2339,752,1152
38,7,1,2319,1424,773,1371,832,547
39,7,2,1738,2061,1165,720,646,706
40,7,1,1605,99,863,750,347,607
41,7,2,2055,1638,1894,1508,1077,1255
1,8,2,1038,2801,1223,945,1390,1285
2,8,1,1459,1854,2640,1291,2742,3241
3,8,2,1013,4511,1197,1012,1479,1308
4,8,1,1219,3015,3174,1246,1323,1740
5,8,2,1014,2085,1642,296,1253,2244
6,8,1,1056,1396,1045,319,1321,959
7,8,2,931,1645,294,1043,1725,1887
8,8,1,1556,316,1884,957,2301,2786
9,8,2,3300,3311,963,1316,2028,1582
10,8,1,1261,228,1491,900,1906,1596
11,8,2,1253,2388,1604,862,1942,1048
12,8,1,1050,1292,936,1070,1330,1227
13,8,2,991,3025,1148,774,1632,2368
14,8,1,1030,1278,1372,1038,1386,1472
15,8,2,5216,1647,1169,951,539,1871
16,8,1,1687,1617,1667,1425,1901,1069
17,8,2,1707,1781,3083,1543,2075,3760
18,8,1,1063,4342,2082,2329,3338,2247
19,8,2,1000,2212,2287,1350,1706,1255
20,8,1,1885,2333,2159,1029,85,2481
21,8,2,1307,1600,643,1512,1712,1718
22,8,1,2523,2231,2372,2128,3648,971
23,8,2,1489,1216,894,926,1077,1522
24,8,1,4368,1161,327,2787,740,1338
25,8,2,3762,1692,1634,1692,1839,2083
26,8,1,1375,1685,1514,810,1929,3870
