Participant,Item,Condition,R1,R2,R3,R4,R5,R6
11,6,2,2274,1618,1591,1792,2459,2275
12,6,1,1250,1486,1294,1519,1332,791
13,6,2,2516,666,1108,929,1152,1480
14,6,1,1996,2914,2541,1535,1672,1811
15,6,2,6922,1387,2231,1687,2943,819
16,6,1,1466,2124,1607,2162,2025,1517
17,6,2,2290,2275,4258,2290,2395,2714
18,6,1,3809,2377,2646,1998,2035,2623
19,6,2,1554,1848,2591,2453,1696,869
20,6,1,1340,1849,2094,2057,2337,2564
21,6,2,1186,736,1662,684,1105,1151
22,6,1,1199,2254,2775,1926,1359,1130
23,6,2,1018,1184,1634,1562,1861,2108
24,6,1,2023,8011,0,4792,1997,3006
25,6,2,1411,4301,1770,1418,1294,1350
26,6,1,2344,1730,1066,1073,2413,1308
27,6,2,858,951,1835,933,993,781
28,6,1,1570,1475,1515,2140,1589,1950
29,6,2,725,1191,1185,873,1114,1537
30,6,1,1982,3447,1814,2371,1912,1346
31,6,2,2474,2784,2909,1837,1731,1246
32,6,1,1572,1812,2487,2311,1349,1852
33,6,2,1601,1449,1515,1539,2421,5006
34,6,1,1227,1884,1962,2396,1983,2095
36,6,2,1105,1851,1720,1525,1710,842
37,6,1,1395,2480,4871,1590,2077,1036
38,6,2,1804,1728,1159,1874,1078,1782
39,6,1,993,647,4526,1714,906,1112
40,6,2,1624,1665,1100,846,864,1389
41,6,1,1653,1779,1620,1589,1040,931
1,7,1,1685,1540,1724,1503,1038,960
2,7,2,4005,2425,2468,9547,1108,1407
3,7,1,2273,1286,1908,1442,1101,1920
4,7,2,2618,4940,3976,3117,1140,5446
5,7,1,1571,1138,1750,1351,923,6402
6,7,2,1466,986,1012,675,506,1235
7,7,1,1348,1950,2073,1739,2458,3478
8,7,2,5198,2395,2910,4102,1063,1558
9,7,1,2246,4050,2146,1963,1607,4940
10,7,2,3066,1436,1657,1211,755,761
11,7,1,2000,2869,2720,2499,1182,4857
12,7,2,1487,1312,1650,2222,1229,2773
13,7,1,1361,1452,1414,1165,850,1553
14,7,2,1766,1336,1606,1639,932,1268
15,7,1,3103,4125,2452,1656,976,1131
16,7,2,1755,3129,1386,1831,1187,1585
17,7,1,1714,1926,2227,2455,1426,2487
18,7,2,2302,2113,1624,1194,1646,2330
19,7,1,2080,1694,1772,1930,1020,719
20,7,2,2259,2004,2276,2632,1493,2768
21,7,1,979,1391,2004,1435,860,1297
22,7,2,2150,1895,4049,2231,1312,2664
23,7,1,1623,1324,1435,1566,1440,2225
24,7,2,3527,1916,1073,1074,726,4723
25,7,1,1512,1694,2008,1464,1060,1487
26,7,2,1298,1560,1647,1293,889,2044
27,7,1,1023,860,1102,1005,1044,1195
28,7,2,1758,1323,1690,1894,1130,5549
29,7,1,1867,1525,1293,892,589,3471
30,7,2,4714,10439,3066,11974,1276,3000
31,7,1,2528,3025,2980,3456,1316,2220
32,7,2,2268,1193,1467,1288,904,2022
33,7,1,1597,1335,2278,1609,1062,2384
34,7,2,1887,2011,1395,1561,900,2019
35,7,1,7557,2357,1460,1854,1268,1494
37,7,2,2303,1684,1185,2339,752,1152
38,7,1,2319,1424,2063,1371,832,3006
39,7,2,1738,2061,1165,720,2066,706
40,7,1,1605,1405,863,750,347,1296
41,7,2,2055,1638,1894,1508,1077,1255
1,8,2,1038,2801,1223,945,1390,1419
2,8,1,1459,1854,2640,1291,2742,3241
3,8,2,1013,4511,1197,1012,1479,1308
4,8,1,1219,3015,4375,1246,1323,3322
5,8,2,1014,2085,1642,2992,1253,2326
6,8,1,1056,1396,1045,1294,1321,959
7,8,2,931,1645,1571,1043,1725,4151
8,8,1,1556,2927,1884,957,2301,2786
9,8,2,3300,4067,963,1316,2028,4247
10,8,1,1261,2167,1491,900,1906,1596
11,8,2,1253,2388,1604,862,2459,2409
12,8,1,1050,1292,936,1070,1330,1227
13,8,2,991,3025,1148,774,1632,2784
14,8,1,1030,1278,1372,1038,1386,1472
15,8,2,5216,1647,1169,951,3387,2999
16,8,1,1687,1617,1667,1425,1901,1940
17,8,2,1707,1781,3083,1543,2075,3760
18,8,1,1063,4342,2082,2329,3338,4376
