Participant,Item,Condition,R1,R2,R3,R4,R5,R6
39,10,1,0,0,0,0,0,100
40,10,2,0,0,0,100,0,100
41,10,1,0,0,0,0,0,0
1,11,1,0,100,0,100,0,100
2,11,2,0,0,100,0,0,0
3,11,1,0,100,0,0,100,0
4,11,2,0,0,0,0,0,100
5,11,1,0,100,0,0,0,100
6,11,2,0,0,0,0,0,100
7,11,1,0,100,0,0,0,0
8,11,2,0,100,0,0,0,0
9,11,1,0,0,0,0,0,100
10,11,2,0,0,100,0,0,100
11,11,1,0,0,0,0,0,100
12,11,2,0,0,0,0,0,0
13,11,1,0,100,0,0,0,100
14,11,2,0,0,0,0,0,0
15,11,1,0,0,0,0,0,100
16,11,2,0,0,0,0,0,0
17,11,1,0,0,0,0,0,0
18,11,2,0,0,0,0,0,100
19,11,1,0,0,0,0,0,100
20,11,2,0,0,0,0,0,0
21,11,1,0,0,0,0,100,100
22,11,2,0,0,0,0,0,100
23,11,1,0,0,0,0,0,0
24,11,2,0,100,0,0,0,100
25,11,1,0,0,0,0,0,100
26,11,2,0,100,0,0,0,100
27,11,1,0,0,100,0,0,100
28,11,2,0,0,0,0,0,0
29,11,1,0,0,0,0,0,0
30,11,2,0,100,0,100,0,0
31,11,1,0,0,0,0,0,0
32,11,2,0,0,100,0,0,0
33,11,1,0,0,0,0,0,100
34,11,2,0,0,0,0,0,100
35,11,1,0,0,0,0,0,100
37,11,2,0,0,0,0,0,0
38,11,1,0,0,0,0,0,0
39,11,2,0,0,100,0,100,0
40,11,1,0,100,0,0,0,100
41,11,2,0,0,0,0,0,0
1,12,2,0,100,0,0,0,100
2,12,1,0,0,0,100,100,0
3,12,2,0,100,0,0,0,0
4,12,1,0,100,0,0,0,100
5,12,2,0,100,0,100,0,100
6,12,1,0,0,0,0,0,0
7,12,2,0,0,0,100,0,100
8,12,1,0,100,0,100,0,0
9,12,2,0,0,0,0,100,0
10,12,1,0,0,0,0,0,0
11,12,2,0,0,0,0,0,100
