Participant,Item,Condition,R1,R2,R3,R4,R5,R6
31,5,1,2254,2251,1548,1667,1266,987
32,5,2,5683,3285,1907,1757,1618,2005
33,5,1,2325,2030,1692,1917,1275,2519
34,5,2,1914,1764,1893,1735,1572,2582
36,5,1,2722,1599,1224,1079,750,961
37,5,2,4767,2757,2150,2202,2054,1632
38,5,1,2184,1799,1135,1538,599,877
39,5,2,1322,1649,1488,1017,795,706
40,5,1,3212,612,575,888,577,613
41,5,2,2454,1286,1214,792,918,894
1,6,2,1339,2513,1327,1765,1452,879
2,6,1,1260,3622,1831,1889,2005,1865
3,6,2,1692,1591,1703,1196,1350,1028
4,6,1,3956,3225,3116,2157,1553,1449
5,6,2,1466,1607,1783,1251,820,825
6,6,1,1629,981,1883,796,657,800
7,6,2,2622,1317,1389,2733,2045,1138
8,6,1,3555,3065,1833,2776,3317,3115
9,6,2,2006,1418,1813,2107,1861,870
10,6,1,1864,2705,1963,1731,1706,830
11,6,2,2516,1618,2440,2416,2459,560
12,6,1,1250,1486,1294,1519,1332,791
13,6,2,2516,863,1108,929,1580,855
14,6,1,1996,2914,2699,1535,1672,1653
15,6,2,6922,1387,2231,1687,2943,819
16,6,1,1641,2124,1607,2162,2025,1342
17,6,2,3115,2275,3433,2748,1937,2068
18,6,1,4067,2377,2646,1998,2035,2365
19,6,2,1554,1848,2783,2261,1696,869
20,6,1,2517,1849,2094,2057,2337,1387
21,6,2,1186,736,2113,684,1284,521
22,6,1,1406,2388,2775,1926,1359,789
23,6,2,1160,1184,1634,1925,2031,1433
24,6,1,2826,8303,1956,4792,1997,1208
25,6,2,2553,3159,1770,1418,1294,1350
26,6,1,2344,1730,1066,1391,2095,1308
27,6,2,1053,951,1640,933,993,781
28,6,1,1570,1475,1515,2140,1589,1950
29,6,2,725,1437,1185,873,1114,1291
30,6,1,1982,3447,1814,2371,1912,1346
31,6,2,2474,2784,2909,1837,1731,1246
32,6,1,1572,1812,2487,2311,1349,1852
33,6,2,1871,2251,1515,1539,2421,3934
34,6,1,1227,1884,2890,2620,1759,1167
36,6,2,1105,1851,1720,1525,1710,842
37,6,1,1395,2480,4871,1590,2077,1036
38,6,2,1804,1958,1924,1311,1078,1350
39,6,1,1809,1105,3252,1714,906,1112
40,6,2,1624,1665,1100,846,1292,961
41,6,1,1653,1779,1620,1589,1040,931
1,7,1,1685,1540,1724,1503,1038,960
2,7,2,5120,3806,3845,5674,1108,1407
3,7,1,2273,1286,1908,1442,1101,1920
4,7,2,5675,5961,2795,3301,1528,1977
5,7,1,2458,2465,2902,2146,1366,1798
6,7,2,1850,986,1012,675,506,851
7,7,1,2791,2110,2214,1726,1223,1500
8,7,2,5198,2395,2910,4102,1063,1558
9,7,1,4526,4454,2976,2585,1607,804
10,7,2,3066,1436,1657,1211,755,761
11,7,1,2742,3572,3415,3027,1442,1929
12,7,2,1487,1312,1650,2606,1390,2228
13,7,1,1361,1452,1414,1165,850,1553
14,7,2,1766,1336,1606,1639,932,1268
15,7,1,4173,3055,2452,1656,976,1131
16,7,2,1755,3129,1386,1831,1187,1585
17,7,1,1714,1926,2227,2455,1426,2487
18,7,2,2520,1895,1624,1194,1646,2330
19,7,1,2080,1694,1772,1930,1020,719
20,7,2,2922,2004,2158,2917,1895,1536
21,7,1,1348,1543,1787,1435,860,993
22,7,2,2699,1895,4049,2943,1567,1148
23,7,1,1983,1324,1688,1724,1440,1454
24,7,2,4560,2959,1813,1226,1206,1275
25,7,1,1512,1694,2008,1464,1060,1487
26,7,2,1404,1560,1647,1293,1423,1404
27,7,1,1295,860,1102,1005,1044,923
28,7,2,2974,2315,2884,2380,1286,1505
29,7,1,2853,1635,1725,1426,742,1256
30,7,2,11406,8142,5244,6751,1276,1650
31,7,1,3483,3242,2980,3456,1316,1048
32,7,2,2268,1193,1467,1288,904,2022
33,7,1,1834,1098,2278,1609,2002,1444
34,7,2,2655,2194,1395,1561,900,1068
35,7,1,7557,2357,1460,1854,1268,1494
37,7,2,2303,1684,1185,2339,752,1152
38,7,1,2586,1721,1645,1371,1172,2520
39,7,2,2747,2236,1165,720,882,706
40,7,1,2689,1010,863,750,347,607
41,7,2,2055,1638,1894,1508,1077,1255
1,8,2,1038,2801,1357,945,1390,1285
2,8,1,1459,1854,2640,1291,2742,3241
3,8,2,1013,4511,1197,1012,1479,1308
4,8,1,1675,4563,3750,1246,1323,1943
5,8,2,1096,2085,3391,1243,1253,2244
6,8,1,1056,1396,1254,1085,1321,959
7,8,2,2022,2621,1599,1212,1725,1887
8,8,1,2154,2329,1884,957,2301,2786
9,8,2,3870,4203,1506,2732,2028,1582
10,8,1,1596,1832,1491,900,1906,1596
11,8,2,1253,2388,2207,1980,2099,1048
12,8,1,1050,1292,936,1070,1330,1227
13,8,2,991,3025,1148,774,2048,2368
14,8,1,1030,1278,1372,1038,1386,1472
15,8,2,6119,1647,1169,2482,2081,1871
16,8,1,2274,1901,1667,1425,1901,1069
17,8,2,1707,1781,3083,1543,2075,3760
18,8,1,2354,4484,2082,3025,3338,2247
19,8,2,1000,2212,2287,1350,1706,1255
20,8,1,2741,2502,2159,1980,1941,2481
21,8,2,1398,1943,643,1512,1871,1835
22,8,1,2694,2231,2372,2128,3648,971
23,8,2,2712,1216,894,926,1077,1522
24,8,1,4947,4055,3732,3591,1705,2200
25,8,2,3762,1812,1634,1692,1839,2083
26,8,1,2045,1685,1514,810,1929,3870
27,8,2,1392,1667,672,854,1012,1318
28,8,1,1103,1479,1207,1027,1539,2211
29,8,2,786,996,760,788,1466,1420
30,8,1,5840,2463,2163,3987,3293,3661
31,8,2,1130,1831,1350,1134,1166,1698
32,8,1,1133,2641,1758,1020,1909,2245
33,8,2,1873,1917,996,1587,1765,1456
34,8,1,1851,2305,2091,877,1246,2010
36,8,2,1829,2316,1342,1696,1336,1739
37,8,1,2810,1864,2069,1145,2193,2438
38,8,2,1105,1210,925,538,1780,1661
39,8,1,1903,1490,1018,532,1036,1785
40,8,2,404,988,337,516,786,530
41,8,1,1847,2126,1474,1375,2365,3349
1,9,1,1578,1613,1192,1300,1026,1279
2,9,2,3069,2942,1906,4013,2453,1432
3,9,1,1868,2290,1776,1497,948,726
4,9,2,1545,2754,2575,2716,1204,835
5,9,1,2269,2643,1350,1284,1069,1083
6,9,2,1809,1984,1079,905,745,425
7,9,1,1201,2180,1138,1561,1048,2087
8,9,2,2120,2615,1720,1582,2397,1993
9,9,1,2790,3147,1765,1171,944,811
10,9,2,2361,1765,1497,785,1445,1157
11,9,1,9808,1820,3271,3373,2751,1287
